TradeSummary(id=1229, instrument=EUR_JPY, price=118.730, openTime=2020-03-16T23:04:32.212243926Z, state=CLOSED, initialUnits=870, initialMarginRequired=39.5824, currentUnits=0, realizedPL=1.7057, unrealizedPL=null, marginUsed=null, averageClosePrice=118.986, closingTransactionIDs=[1277], financing=0.0000, closeTime=2020-03-17T07:56:53.031906523Z, clientExtensions=null, takeProfitOrderID=1230, stopLossOrderID=1231, trailingStopLossOrderID=null)
TradeSummary(id=1233, instrument=EUR_JPY, price=118.736, openTime=2020-03-16T23:06:32.989128825Z, state=CLOSED, initialUnits=450, initialMarginRequired=20.4757, currentUnits=0, realizedPL=0.8479, unrealizedPL=null, marginUsed=null, averageClosePrice=118.982, closingTransactionIDs=[1281], financing=0.0000, closeTime=2020-03-17T07:56:57.658817784Z, clientExtensions=null, takeProfitOrderID=1234, stopLossOrderID=1235, trailingStopLossOrderID=null)
TradeSummary(id=1211, instrument=USD_JPY, price=106.322, openTime=2020-03-16T23:02:30.566155222Z, state=CLOSED, initialUnits=830, initialMarginRequired=33.8179, currentUnits=0, realizedPL=3.2538, unrealizedPL=null, marginUsed=null, averageClosePrice=106.834, closingTransactionIDs=[1285], financing=0.0000, closeTime=2020-03-17T07:57:05.068570147Z, clientExtensions=null, takeProfitOrderID=1212, stopLossOrderID=1213, trailingStopLossOrderID=null)
TradeSummary(id=1185, instrument=EUR_USD, price=1.11825, openTime=2020-03-16T22:01:56.864829408Z, state=CLOSED, initialUnits=660, initialMarginRequired=30.0590, currentUnits=0, realizedPL=-2.4680, unrealizedPL=null, marginUsed=null, averageClosePrice=1.11368, closingTransactionIDs=[1289], financing=0.0000, closeTime=2020-03-17T07:57:08.963219871Z, clientExtensions=null, takeProfitOrderID=1186, stopLossOrderID=1187, trailingStopLossOrderID=null)
TradeSummary(id=1207, instrument=USD_JPY, price=106.285, openTime=2020-03-16T23:01:30.318812151Z, state=CLOSED, initialUnits=700, initialMarginRequired=28.5316, currentUnits=0, realizedPL=2.9375, unrealizedPL=null, marginUsed=null, averageClosePrice=106.833, closingTransactionIDs=[1293], financing=0.0000, closeTime=2020-03-17T07:57:13.073680828Z, clientExtensions=null, takeProfitOrderID=1208, stopLossOrderID=1209, trailingStopLossOrderID=null)
TradeSummary(id=1215, instrument=EUR_USD, price=1.11703, openTime=2020-03-16T23:02:30.876937004Z, state=CLOSED, initialUnits=-830, initialMarginRequired=37.7791, currentUnits=0, realizedPL=2.2277, unrealizedPL=null, marginUsed=null, averageClosePrice=1.11375, closingTransactionIDs=[1297], financing=0.0000, closeTime=2020-03-17T07:57:18.852207699Z, clientExtensions=null, takeProfitOrderID=1216, stopLossOrderID=1217, trailingStopLossOrderID=null)
TradeSummary(id=1191, instrument=EUR_JPY, price=118.595, openTime=2020-03-16T22:32:16.011951168Z, state=CLOSED, initialUnits=620, initialMarginRequired=28.2398, currentUnits=0, realizedPL=1.8279, unrealizedPL=null, marginUsed=null, averageClosePrice=118.980, closingTransactionIDs=[1301], financing=0.0000, closeTime=2020-03-17T07:57:24.015478001Z, clientExtensions=null, takeProfitOrderID=1192, stopLossOrderID=1193, trailingStopLossOrderID=null)
TradeSummary(id=1099, instrument=USD_JPY, price=106.260, openTime=2020-03-16T19:01:58.321884418Z, state=CLOSED, initialUnits=540, initialMarginRequired=22.0626, currentUnits=0, realizedPL=2.3824, unrealizedPL=null, marginUsed=null, averageClosePrice=106.836, closingTransactionIDs=[1305], financing=0.0201, closeTime=2020-03-17T07:57:30.455377746Z, clientExtensions=null, takeProfitOrderID=1100, stopLossOrderID=1101, trailingStopLossOrderID=null)
TradeSummary(id=1107, instrument=EUR_JPY, price=118.606, openTime=2020-03-16T19:02:59.005636127Z, state=CLOSED, initialUnits=620, initialMarginRequired=28.2745, currentUnits=0, realizedPL=1.8666, unrealizedPL=null, marginUsed=null, averageClosePrice=118.999, closingTransactionIDs=[1309], financing=-0.0121, closeTime=2020-03-17T07:57:34.822395773Z, clientExtensions=null, takeProfitOrderID=1108, stopLossOrderID=1109, trailingStopLossOrderID=null)
TradeSummary(id=1143, instrument=USD_JPY, price=105.936, openTime=2020-03-16T20:04:40.157117702Z, state=CLOSED, initialUnits=-620, initialMarginRequired=25.3129, currentUnits=0, realizedPL=-4.3946, unrealizedPL=null, marginUsed=null, averageClosePrice=106.861, closingTransactionIDs=[1313], financing=-0.0622, closeTime=2020-03-17T07:57:38.310903616Z, clientExtensions=null, takeProfitOrderID=1144, stopLossOrderID=1145, trailingStopLossOrderID=null)
